"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"402","IBMAN-M24-F01","Regional Studies 2","Prof. Dr. José Magone","SoSe26"
"403","IBMAN-M31-F01","Self Management 2","Daisy Krüger","SoSe26"
"404","IBMAN-M32-F01","Communication and Interaction in a Professional Context 2","Rami Abo Zarad","SoSe26"
"405","IBMAN-M33-F01","Intercultural Communication 2","Rami Abo Zarad","SoSe26"
"406","IBMAN-M34-F01","History, Politics and Economics of the Host Country 2","Jörg Nielandt","SoSe26"
"407","WiRecht-M39-F02...","English for Business Law: Common Law Cases","Prof. Dr. Torsten Straub","SoSe26"
"408","WiRecht-M39-F01...","English for Business Law: English Legal System","Prof. Dr. Torsten Straub","SoSe26"
"409","WiRecht-M09-F01...","Vertiefung Zivilrecht","Prof. Dr. Sebastian Schunke","SoSe26"
"410","WiRecht-M41-F01...","Praxisseminar","Prof. Dr. Sebastian Schunke","SoSe26"
"411","WiRecht-M06-F02...","Recht im Unternehmen (Gesellschaftsrecht I)","Julia Preußer","SoSe26"
"412","WiRecht-M06-F01...","Recht im Unternehmen (Arbeitsrecht I)","Prof. Dr. Reingard Zimmer","SoSe26"
"413","WiRecht-M04-F01...","Zivilrecht III","Prof. Dr. Sebastian Schunke","SoSe26"
"414","WiRecht-M05-F01...","Zivilrecht IV","Prof. Dr. Arnold Lehmann-Richter","SoSe26"
"415","WiRecht-M12-F01...","Wirtschaftsstrafrecht","Alexander Sättele","SoSe26"
"416","WiRecht-M23-F01...","Bank- und Kreditsicherungsrecht","Prof. Dr. Julia Klauer","SoSe26"
"417","WiRecht-M08-F01...","Gesellschaftsrecht II","Julia Preußer","SoSe26"
"418","WiRecht-M21-F01...","Europäisches Wirtschaftsrecht","Prof. Dr. Torsten Straub","SoSe26"
"419","WiRecht-M07-F01...","Arbeitsrecht II","Prof. Dr. Stefanie Lorenzen","SoSe26"
"420","Wi-Inf-M16-F01","Recht der digitalen Wirtschaft","Dr. Michael Funke","SoSe26"
"421","WiRecht-M24-F01...","Praktische Anwendungen des Wirtschaftsrechts","Prof. Dr. Torsten Straub","SoSe26"
"422","WiRecht-M03-F01...","Zivilrecht II","Prof. Dr. Arnold Lehmann-Richter","SoSe26"
"423","WiRecht-M35-F01...","Statistik","Dr. Michael Schlegel","SoSe26"
"424","WiRecht-M11-F02...","Öffentliches Wirtschaftsrecht","Prof. Dr. Johannes Schäffer / Nina Tippmann","SoSe26"
"425","WiRecht-M01-F01...","Einführung in das Studium","Prof. Dr. Sebastian Schunke","SoSe26"
"426","WiRecht-M34-F01...","Volkswirtschaftliche Rahmenbedingungen","Dr. Sylvi Rzepka","SoSe26"
"427","WiRecht-M02-F01...","Zivilrecht I","Julia Preußer","SoSe26"
"428","BA-WiIng-M32-F0...","Projektmanagement und Fallstudien","Frank Hinrichs / Charlotte Ritter","SoSe26"
"429","BA-WiIng-M33-F0...","Unternehmenssimulation mit Teamentwicklung und Supervision 1","Prof. Dr. rer. Christian Noss / Susanne Schubert","SoSe26"
"430","BA-WiIng-M34-F0...","Strategische Finanzplanung und Bewertung","Prof. Dr. Frank Witte","SoSe26"
"431","BA-WiIng-M36-F0...","Nachhaltiges Operations Management II","Prof. Dr. Eberhard Schmid","SoSe26"
"432","BA-WiIng-M37-F0...","Analyse unternehmerischer Nachhaltigkeit","Prof. Dr. Annett Baumast","SoSe26"
"433","BA-WiIng-M21-F0...","Statistik","Dr. Hartmut Bauer","SoSe26"
"434","BA-WiIng-M22-F0...","Investition und Finanzierung","Prof. Dr. Axel Hellmann","SoSe26"
"435","BA-WiIng-M07-F0...","Business English II","Sandra Baker","SoSe26"
"436","BA-WiIng-M07-F0...","Business English III","Sandra Baker","SoSe26"
