modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
EcoPol-F06,The Politics of Social Cohesion in Europe,6,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MSCOM-F01,Beschaffungs- und Produktionsmanagement ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MSCOM-F02,Distributions- und Transportmanagement ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MSCOM-F03,Supply Chain Management und Informationssysteme,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MSCOM-F06,Operations Technology and Methods,5,,Kombinierte Prüfung,seminaristischer Unterricht
QS-M01-F01,Introduction to Time Series Analysis,5,,Klausur,seminaristischer Unterricht
QS-M01-F04,Platforms and Digital Business Ecosystems,5,,Portfolio,seminaristischer Unterricht
QS-M01-F05,International Management,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-MI-F01,Management Issues: Strategy and Innovation,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M32-F01,Communication and Interaction in a Professional Context ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
IBMAN-M42-F01,Research Methodology,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
IBMAN-M41-F01,Supervision,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
IBMAN-M10-F01,Business Simulation ,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M34-F01,History, Politics and Economics of the Host Country ,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M33-F01,Intercultural Communication ,3,,Kombinierte Prüfung,Projektseminar, Action-learning
IBMAN-M22-F01,International Economics,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M07-F01,Strategic Management,5,,Mündliche Prüfung (P),seminaristischer Unterricht
IBMAN-M23-F01,Fundamentals of Business Law,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M03-F01,Marketing,5,,Klausur,seminaristischer Unterricht
IBMAN-M11-F01,Operations Management,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M27-F01,Statistics,5,,Klausur,seminaristischer Unterricht
IBMAN-M25-F01,Work, Business and Society,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M08-F01,International Management ,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M06-F01,Management Accounting and Controlling,5,,Klausur,seminaristischer Unterricht
IBMAN-M09-F01,Organisational Behaviour in International Companies ,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M12-F01,Corporate Environmental Management,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M29-F01,Business Applications,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M05-F01,Principles of Managerial Accounting,5,,Klausur,seminaristischer Unterricht
IBMAN-M21-F01,Macroeconomics: The Economic Cycle and Employment,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M24-F01,Regional Studies ,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M02-F01,Principles of Corporate Finance,5,,Klausur,seminaristischer Unterricht
IBMAN-M30-F01,Introduction to the Study Programme and the Academic Environment,2,,Leistungstest (undifferenziert),seminaristischer Unterricht
IBMAN-M31-F01,Self Management ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
